id,full_name,parent_id,rank,rank_name,taxref,niamoto
9722,Zanthoxylum oreophilum,3217,SPECIES,oreophilum,6291,
9723,Arytera collina,3281,SPECIES,collina,1955,
9724,Arytera gracilipes,3281,SPECIES,gracilipes,1956,
9725,Arytera nekorensis,3281,SPECIES,nekorensis,1958,
9726,Cupaniopsis hypodermatica,3283,SPECIES,hypodermatica,2759,
9727,Cupaniopsis megalocarpa,3283,SPECIES,megalocarpa,2765,
9728,Cupaniopsis pennelii,3283,SPECIES,pennelii,2769,
9729,Cupaniopsis rosea,3283,SPECIES,rosea,2772,
9730,Elattostachys dzumacensis,3285,SPECIES,dzumacensis,3165,
9731,Elattostachys incisa,3285,SPECIES,incisa,3166,
9732,Gongrodiscus parvifolius,3286,SPECIES,parvifolius,3519,
9733,Guioa crenata,3287,SPECIES,crenata,3583,
9734,Guioa gracilis,3287,SPECIES,gracilis,3589,
9735,Podonephelium cristagalli,3290,SPECIES,"cristigalli,",14898,
9736,Podonephelium davidsonii,3290,SPECIES,davidsonii,12856,
9737,Podonephelium homei,3290,SPECIES,homei,5117,
9738,Podonephelium plicatum,3290,SPECIES,plicatum,14895,
9739,Pichonia balansae,3297,SPECIES,balansae,15481,
9740,Pichonia balansana,3297,SPECIES,balansana,4991,
9741,Pichonia daenikeri,3297,SPECIES,daenikeri,12773,
9742,Pichonia deplanchei,3297,SPECIES,deplanchei,15482,
9743,Pichonia grandiflora,3297,SPECIES,grandiflora,13506,
9744,Pichonia lecomtei,3297,SPECIES,lecomtei,4993,
9745,Pycnandra bourailensis,3349,SPECIES,bourailensis,12778,
9746,Pycnandra decandra,3349,SPECIES,decandra,5332,
9747,Pycnandra elliptica,3349,SPECIES,elliptica,13941,
9748,Pycnandra glaberrima,3349,SPECIES,glaberrima,12764,
9749,Pycnandra kaalaensis,3349,SPECIES,kaalaensis,5335,
9750,Pycnandra neocaledonica,3349,SPECIES,neocaledonica,5336,
9751,Pycnandra ouaiemensis,3349,SPECIES,ouaiemensis,13358,
9752,Pycnandra paucinervia,3349,SPECIES,paucinervia,12862,
9753,Pycnandra schmidii,3349,SPECIES,schmidii,13639,
9755,Pycnandra viridiflora,3349,SPECIES,viridiflora,13947,
9756,Soulamea cardioptera,3354,SPECIES,cardioptera,5725,
9758,Lethedon comptonii,3426,SPECIES,comptonii,3990,
9759,Lethedon microphylla,3426,SPECIES,microphylla,3993,
9761,Lethedon ovata,3426,SPECIES,ovata,3995,
9762,Lethedon salicifolia,3426,SPECIES,salicifolia,12789,
9763,Gymnostoma chamaecyparis,4489,SPECIES,chamaecyparis,3601,
9764,Gymnostoma glaucescens,4489,SPECIES,glaucescens,3603,
9765,Gymnostoma webbianum,4489,SPECIES,webbianum,3608,
9766,Beauprea balansae,5922,SPECIES,balansae,2120,
9767,Geijera cauliflora,6964,SPECIES,cauliflora,3458,
9768,Geijera salicifolia,6964,SPECIES,salicifolia,3459,
9770,Hugonia oreogena,7162,SPECIES,oreogena,3736,
9771,Dicarpellum paucisepalum,7164,SPECIES,paucisepalum,12559,
9772,Elaeodendron curtipendulum,7175,SPECIES,curtipendulum,12874,
9773,Elaeodendron pininsulare,7175,SPECIES,pininsulare,12877,
9774,Hunga lifouana,7183,SPECIES,lifouana,3742,
9775,Hunga mackeeana,7183,SPECIES,mackeeana,3743,
9776,Planchonella cauliflora,7600,SPECIES,cauliflora,12855,
9777,Planchonella cinerea,7600,SPECIES,cinerea,12591,
9778,Planchonella dothioense,7600,SPECIES,dothioense,12950,
9779,Planchonella leptostylidifolia,7600,SPECIES,leptostylidifolia,12867,
9780,Planchonella lifuana,7600,SPECIES,lifuana,12791,
9781,Planchonella linggensis,7600,SPECIES,linggensis,12729,
9782,Planchonella luteocostata,7600,SPECIES,luteocostata,12678,
9783,Planchonella mandjeliana,7600,SPECIES,mandjeliana,12792,
9784,Planchonella pinifolia,7600,SPECIES,pinifolia,12923,
9785,Planchonella povilana,7600,SPECIES,povilana,12775,
9786,Planchonella rheophytopsis,7600,SPECIES,rheophytopsis,13247,
9787,Zygogynum cristatum,8956,SPECIES,cristatum,6325,
9788,Zygogynum fraterculus,8956,SPECIES,fraterculus,6326,
9789,Zygogynum tanyostigma,8956,SPECIES,tanyostigma,6344,
9790,Zygogynum vieillardii,8956,SPECIES,vieillardii,6349,
9791,Pleioluma crebrifolia,9312,SPECIES,crebrifolia,15667,
9793,Casuarina equisetifolia,9357,SPECIES,equisetifolia,2407,
9794,Casuarina teres,9357,SPECIES,teres,12562,
9798,Tinadendron kajewskii,9909,SPECIES,kajewskii,12820,
9799,Tinadendron noumeanum,9909,SPECIES,noumeanum,12819,
9800,Mangenotiella stellata,9947,SPECIES,stellata,15615,
9801,Ochrosia elliptica Boiteau f. elliptica,9569,INFRASPECIES,f. elliptica,4480,
9802,Cerbera manghas f. luteola,9488,INFRASPECIES,f. luteola,12618,
9803,Ochrosia elliptica f. syncarpa,9569,INFRASPECIES,f. syncarpa,4481,
9804,Zygogynum pancheri subsp. arrhantum,8541,INFRASPECIES,subsp. arrhantum,6333,
9805,Myrsine asymmetrica (Mez) Ricketson & Pipoly subsp. asymmetrica,1851,INFRASPECIES,subsp. asymmetrica,15529,
9806,Archidendropsis paivana subsp. balansae,9387,INFRASPECIES,subsp. balansae,1879,
9807,Pycnandra decandra subsp. coriacea,9746,INFRASPECIES,subsp. coriacea,13350,
9808,Myrsine modesta subsp. coriaria,7193,INFRASPECIES,subsp. coriaria,15495,
9809,Pycnandra decandra (Montrouz.) Vink subsp. decandra,9746,INFRASPECIES,subsp. decandra,13349,
9810,Delarbrea paradoxa subsp. depauperata,4726,INFRASPECIES,subsp. depauperata,2881,
9811,Myrsine oblanceolata subsp. doensis,6569,INFRASPECIES,subsp. doensis,15508,
9812,Denhamia fournieri subsp. drakeana,5949,INFRASPECIES,subsp. drakeana,15923,
9814,Grevillea exul Lindl. subsp. exul,9366,INFRASPECIES,subsp. exul,3551,
9815,Denhamia fournieri (Pancher & Sebert) M.P.Simmons subsp. fournieri,5949,INFRASPECIES,subsp. fournieri,15922,
9816,Casuarina equisetifolia subsp. incana,9793,INFRASPECIES,subsp. incana,15445,
9817,Myrsine lanceolata Pancher & Sebert subsp. lanceolata,1820,INFRASPECIES,subsp. lanceolata,15530,
9818,Sarcomelicope simplicifolia subsp. neoscotica,9413,INFRASPECIES,subsp. neoscotica,5503,
